=== VULNERABLE (cleaned) ===
Lib_Network\s_COdbcGameChaDelete.cpp:43 [printf] HIGH | {call sp_UserCheckPass(%d,'%s', ?)} | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "{call sp_UserCheckPass(%d,'%s', ?)}", nUsrNum, szPass2 );
GMTool\Logic\GMToolOdbcConn.cpp:347 [printf] HIGH | SELECT %s FROM ChaInfo where (ChaNum=%d) | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM ChaInfo where (ChaNum=%d)", objName, nChaNum );
GMTool\Logic\GMToolOdbcConn.cpp:586 [printf] HIGH | SELECT %s FROM PetInfo where (PetNum=%d And PetCha | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM PetInfo where (PetNum=%d And PetChaNum=%d)", objName, nPetNum, nChaNum );
GMTool\Logic\GMToolOdbcConn.cpp:645 [printf] HIGH | SELECT %s FROM VehicleInfo where (VehicleNum=%d) A | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 128, "SELECT %s FROM VehicleInfo where (VehicleNum=%d) And (VehicleChaNum=%d)", objName, nVehicleNum,
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:135 [printf] MEDIUM(no-exec-in-window) | SELECT Num, ChaNum, ChaName, ChaEPass, Date FROM C | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT Num, ChaNum, ChaName, ChaEPass, Date FROM ChaEquipmentPass WITH (NOLOCK) WHERE ChaName 
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:139 [printf] HIGH | SELECT TOP %d Num, ChaNum, ChaName, ChaEPass, Date | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d Num, ChaNum, ChaName, ChaEPass, Date FROM ChaEquipmentPass WITH (NOLOCK) WHERE C
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:157 [printf] HIGH | SELECT Num, ChaNum, ChaName, ChaEPass, Date FROM C | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT Num, ChaNum, ChaName, ChaEPass, Date FROM ChaEquipmentPass WITH (NOLOCK) WHERE ChaEPass
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:161 [printf] HIGH | SELECT TOP %d Num, ChaNum, ChaName, ChaEPass, Date | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d Num, ChaNum, ChaName, ChaEPass, Date FROM ChaEquipmentPass WITH (NOLOCK) WHERE C
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:301 [printf] HIGH | UPDATE ChaEquipmentPass SET ChaNum =%u, ChaName =' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE ChaEquipmentPass SET ChaNum =%u, ChaName ='%s', ChaEPass ='%s' WHERE Num = %u ",
GMTool\Logic\GMToolOdbcGM.cpp:25 [printf] HIGH | SELECT UserNum, UserID, UserType FROM UserInfo WIT | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT UserNum, UserID, UserType FROM UserInfo WITH (NOLOCK) WHERE UserID = '%s' AND UserPass 
GMTool\Logic\GMToolOdbcPet.cpp:115 [printf] MEDIUM(no-exec-in-window) | SELECT PetNum, PetChaNum, PetName, PetMID, PetSID, | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT PetNum, PetChaNum, PetName, PetMID, PetSID, PetType FROM PetInfo WITH (NOLOCK) WHERE Pe
GMTool\Logic\GMToolOdbcPet.cpp:119 [printf] MEDIUM(no-exec-in-window) | SELECT TOP %d PetNum, PetChaNum, PetName, PetMID,  | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d PetNum, PetChaNum, PetName, PetMID, PetSID, PetType FROM PetInfo WITH (NOLOCK) W
GMTool\Logic\GMToolOdbcShop.cpp:32 [printf] HIGH | SELECT PurKey, ProductNum, PurPrice, PurDate, Item | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT PurKey, ProductNum, PurPrice, PurDate, ItemName, ItemMain, ItemSub FROM viewShopPurchas
GMTool\Logic\GMToolOdbcShop.cpp:108 [printf] HIGH | UPDATE ShopPurchase SET PurFlag = 1, PurChgDate =  | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 512, "UPDATE ShopPurchase SET PurFlag = 1, PurChgDate = getdate() WHERE UserUID = '%s' AND PurKey=%d"
GMTool\Logic\GMToolOdbcShop.cpp:125 [printf] HIGH | DELETE FROM ShopPurchase WHERE UserUID = '%s' | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 512, "DELETE FROM ShopPurchase WHERE UserUID = '%s'", strUSER.c_str() );
GMTool\Logic\GMToolOdbcUser.cpp:150 [printf] MEDIUM(no-exec-in-window) | SELECT UserNum, UserID, UserEmail, UserType, UserL | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT UserNum, UserID, UserEmail, UserType, UserLoginState, UserAvailable, UserBlock, UserBlo
GMTool\Logic\GMToolOdbcUser.cpp:154 [printf] MEDIUM(no-exec-in-window) | SELECT TOP %d UserNum, UserID, UserEmail, UserType | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d UserNum, UserID, UserEmail, UserType, UserLoginState, UserAvailable, UserBlock, 
GMTool\Logic\GMToolOdbcUser.cpp:175 [printf] MEDIUM(no-exec-in-window) | SELECT UserNum, UserID, UserEmail, UserType, UserL | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT UserNum, UserID, UserEmail, UserType, UserLoginState, UserAvailable, UserBlock, UserBlo
GMTool\Logic\GMToolOdbcUser.cpp:179 [printf] MEDIUM(no-exec-in-window) | SELECT TOP %d UserNum, UserID, UserEmail, UserType | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d UserNum, UserID, UserEmail, UserType, UserLoginState, UserAvailable, UserBlock, 
GMTool\Logic\GMToolOdbcUser.cpp:234 [printf] HIGH | SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE U | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT UserNum FROM UserInfo WITH (NOLOCK) WHERE UserID = '%s' ",  strUSERID.c_str() );
GMTool\Logic\GMToolOdbcUser.cpp:399 [printf] HIGH | UPDATE UserInfo SET UserBlock = %u, UserBlockDate  | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE UserInfo SET UserBlock = %u, UserBlockDate = '%s' WHERE UserNum = %u ",
GMTool\Logic\GMToolOdbcUser.cpp:421 [printf] HIGH | UPDATE UserInfo SET ChatBlockDate = '%s' WHERE Use | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE UserInfo SET ChatBlockDate = '%s' WHERE UserNum = %u ",
GMTool\Logic\GMToolOdbcUser.cpp:598 [printf] HIGH | UPDATE UserInfo SET UserPass ='%s', UserPass2 ='%s | exec:Y;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE UserInfo SET UserPass ='%s', UserPass2 ='%s', UserEmail ='%s', "
GMTool\Logic\GMToolOdbcVehicle.cpp:115 [printf] MEDIUM(no-exec-in-window) | SELECT VehicleNum, VehicleChaNum, VehicleName, Veh | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT VehicleNum, VehicleChaNum, VehicleName, VehicleCardMID, VehicleCardSID, VehicleType FRO
GMTool\Logic\GMToolOdbcVehicle.cpp:119 [printf] MEDIUM(no-exec-in-window) | SELECT TOP %d VehicleNum, VehicleChaNum, VehicleNa | exec:N;esc:N | interp:%s-family | _snprintf( szTemp, 1024, "SELECT TOP %d VehicleNum, VehicleChaNum, VehicleName, VehicleCardMID, VehicleCardSID, VehicleT
Lib_Client\G-Logic\GLChar.cpp:824 [Format] MEDIUM(no-exec-in-window) | Do Trade! From, [%s][%s], Target[%s][%s], RecvMone | exec:N;esc:N | interp:%s-family | strTemp.Format( "Do Trade! From, [%s][%s], Target[%s][%s], RecvMoney:[%I64d], SendMoney:[%I64d], HaveMoney:[%I64d], Targ
Lib_Client\G-Logic\GLChar.cpp:827 [Format] MEDIUM(no-exec-in-window) | Do Trade! From, [%s][%s], Target Not Found, RecvMo | exec:N;esc:N | interp:%s-family | strTemp.Format( "Do Trade! From, [%s][%s], Target Not Found, RecvMoney:[%I64d], SendMoney:[%I64d], HaveMoney:[%I64d]",
Lib_Client\G-Logic\GLChar.cpp:841 [Format] MEDIUM(no-exec-in-window) | ,Do Trade! From, [%s][%s], Target[%s][%s], RecvMon | exec:N;esc:N | interp:%s-family | strTemp.Format( ",Do Trade! From, [%s][%s], Target[%s][%s], RecvMoney:[%I64d], SendMoney:[%I64d], HaveMoney:[%I64d], Tar
Lib_Client\G-Logic\GLChar.cpp:850 [Format] MEDIUM(no-exec-in-window) | ,Do Trade! From, [%s][%s], Target Not Found, RecvM | exec:N;esc:N | interp:%s-family | strTemp.Format( ",Do Trade! From, [%s][%s], Target Not Found, RecvMoney:[%I64d], SendMoney:[%I64d], HaveMoney:[%I64d]",
Lib_Client\G-Logic\GLChar.cpp:910 [Format] MEDIUM(no-exec-in-window) | ,Do Trade Item! From, [%s][%s], Target[%s][%s] | exec:N;esc:N | interp:%s-family | strTemp.Format( ",Do Trade Item! From, [%s][%s], Target[%s][%s]",m_szUID, m_szName, pFromChar->m_szUID, pFromChar->m_szN
Lib_Client\G-Logic\GLCharInvenMsg.cpp:1144 [Format] MEDIUM(no-exec-in-window) | Insert Money, [%s][%s], Insert Amount:[%I64d], Hav | exec:N;esc:N | interp:%s-family | strTemp.Format( "Insert Money, [%s][%s], Insert Amount:[%I64d], Have Money:[%I64d]",
Lib_Client\G-Logic\GLCharInvenMsg.cpp:1646 [printf] MEDIUM(no-exec-in-window) | ,[%s][%s], Hold Item from inventory %02d_%02d, %s  | exec:N;esc:N | interp:%s-family | sprintf( szTempChar, ",[%s][%s], Hold Item from inventory %02d_%02d, %s x(%d/%d), GenNum(%d)", m_szUID, m_szName,
Lib_Client\G-Logic\GLCharInvenMsg.cpp:3144 [printf] MEDIUM(no-exec-in-window) |  Insert New Item %02d_%02d, %s, x(%d/%d), GenNum(% | exec:N;esc:N | interp:%s-family | sprintf( szTempChar, " Insert New Item %02d_%02d, %s, x(%d/%d), GenNum(%d)",
Lib_Client\G-Logic\GLCharInvenMsg.cpp:3232 [printf] MEDIUM(no-exec-in-window) | ,[%s][%s], Insert from item hold Item %02d_%02d, % | exec:N;esc:N | interp:%s-family | sprintf( szTempChar, ",[%s][%s], Insert from item hold Item %02d_%02d, %s x(%d/%d), GenNum(%d)", m_szUID, m_szName,
Lib_Client\G-Logic\GLCharInvenMsg.cpp:4411 [Format] MEDIUM(no-exec-in-window) | Buy From Npc, [%s][%s], Buy price:[%I64d], Have Mo | exec:N;esc:N | interp:%s-family | strTemp.Format( "Buy From Npc, [%s][%s], Buy price:[%I64d], Have Money:[%I64d]",
Lib_Client\G-Logic\GLCharInvenMsg.cpp:4422 [printf] MEDIUM(no-exec-in-window) | ,[%s][%s], Pile Buy Item From NPC %02d_%02d, %s x( | exec:N;esc:N | interp:%s-family | sprintf( szTempChar, ",[%s][%s], Pile Buy Item From NPC %02d_%02d, %s x(%d/%d), GenNum(%d)", m_szUID, m_szName,
Lib_Client\G-Logic\GLCharInvenMsg.cpp:4516 [Format] MEDIUM(no-exec-in-window) | Buy From Npc, [%s][%s], Buy price:[%I64d], Have Mo | exec:N;esc:N | interp:%s-family | strTemp.Format( "Buy From Npc, [%s][%s], Buy price:[%I64d], Have Money:[%I64d]",
Lib_Client\G-Logic\GLCharInvenMsg.cpp:4528 [printf] MEDIUM(no-exec-in-window) | ,[%s][%s], Buy Item From NPC %02d_%02d, %s x(%d/%d | exec:N;esc:N | interp:%s-family | sprintf( szTempChar, ",[%s][%s], Buy Item From NPC %02d_%02d, %s x(%d/%d), GenNum(%d)", m_szUID, m_szName,
Lib_Client\G-Logic\GLCharPMarketMsg.cpp:730 [Format] MEDIUM(no-exec-in-window) | ,Buy From PC, [%s][%s], PC Have Money:[%I64d], Mar | exec:N;esc:N | interp:%s-family | strTemp.Format( ",Buy From PC, [%s][%s], PC Have Money:[%I64d], MarketPC[%s][%s], MarketPC Have Money:[%I64d], Buy price
Lib_Client\G-Logic\GLCharPMarketMsg.cpp:757 [Format] MEDIUM(no-exec-in-window) | Buy From PC, [%s][%s], PC Have Money:[%I64d], Mark | exec:N;esc:N | interp:%s-family | strTemp.Format( "Buy From PC, [%s][%s], PC Have Money:[%I64d], MarketPC[%s][%s], MarketPC Have Money:[%I64d], Buy price:

=== ESCAPED (cleaned) ===
Lib_Network\s_COdbcGameChaEquipmentLock.cpp:34 [printf] {call sp_InsertEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertEquipmentPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strEPin.GetStrin
Lib_Network\s_COdbcGameChaEquipmentLock.cpp:64 [printf] {call sp_CheckEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_CheckEquipmentPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strEPin.GetString
Lib_Network\s_COdbcGameChaEquipmentLock.cpp:91 [printf] SELECT ChaEPass FROM ChaEquipmentPass WHERE ChaNum | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 256, "SELECT ChaEPass FROM ChaEquipmentPass WHERE ChaNum=%u And ChaName='%s'", dwChaNum, strName.GetS
Lib_Network\s_COdbcGameChaEquipmentLock.cpp:172 [printf] {call sp_ChangeEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_ChangeEquipmentPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strEPin.GetStrin
Lib_Network\s_COdbcGameChaEquipmentLock.cpp:193 [printf] {call sp_DeleteEquipmentPass(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_DeleteEquipmentPass(%d,'%s',?)}", dwChaNum, strName.GetString() );
Lib_Network\s_COdbcGameChaRename.cpp:38 [printf] {call RenameCharacter(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call RenameCharacter(%d,'%s',?)}", dwChaNum, strName.GetString() );
Lib_Network\s_COdbcGameCharInventoryLock.cpp:34 [printf] {call sp_InsertInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertInventoryPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetStrin
Lib_Network\s_COdbcGameCharInventoryLock.cpp:64 [printf] {call sp_CheckInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_CheckInventoryPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetString
Lib_Network\s_COdbcGameCharInventoryLock.cpp:91 [printf] SELECT ChaIPass FROM ChaInventoryPass WHERE ChaNum | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 256, "SELECT ChaIPass FROM ChaInventoryPass WHERE ChaNum=%u And ChaName='%s'", dwChaNum, strName.GetS
Lib_Network\s_COdbcGameCharInventoryLock.cpp:172 [printf] {call sp_ChangeInventoryPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_ChangeInventoryPass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetStrin
Lib_Network\s_COdbcGameCharInventoryLock.cpp:193 [printf] {call sp_DeleteInventoryPass(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_DeleteInventoryPass(%d,'%s',?)}", dwChaNum, strName.GetString() );
Lib_Network\s_COdbcGameChaStorageLock.cpp:34 [printf] {call sp_InsertStoragePass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertStoragePass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetString(
Lib_Network\s_COdbcGameChaStorageLock.cpp:64 [printf] {call sp_CheckStoragePass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_CheckStoragePass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetString()
Lib_Network\s_COdbcGameChaStorageLock.cpp:91 [printf] SELECT ChaSPass FROM ChaStoragePass WHERE ChaNum=% | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 256, "SELECT ChaSPass FROM ChaStoragePass WHERE ChaNum=%u And ChaName='%s'", dwChaNum, strName.GetStr
Lib_Network\s_COdbcGameChaStorageLock.cpp:172 [printf] {call sp_ChangeStoragePass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_ChangeStoragePass(%d,'%s','%s',?)}", dwChaNum, strName.GetString(), strSPin.GetString(
Lib_Network\s_COdbcGameChaStorageLock.cpp:193 [printf] {call sp_DeleteStoragePass(%d,'%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_DeleteStoragePass(%d,'%s',?)}", dwChaNum, strName.GetString() );
Lib_Network\s_COdbcGameWeb.cpp:23 [printf] {call user_forgotpass('%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call user_forgotpass('%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:51 [printf] {call user_changepass('%s','%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call user_changepass('%s','%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:85 [printf] {call selchar_changepass('%s','%s','%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call selchar_changepass('%s','%s','%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:120 [printf] {call selchar_changepin('%s','%s','%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call selchar_changepin('%s','%s','%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:138 [printf] {call sp_ReqGameTimeConvert('%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call sp_ReqGameTimeConvert('%s',?)}", strUserID.GetString() );
Lib_Network\s_COdbcGameWeb.cpp:169 [printf] {call selchar_resetpin('%s','%s','%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call selchar_resetpin('%s','%s','%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:199 [printf] {call selchar_topup('%s','%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call selchar_topup('%s','%s','%s',?)}",
Lib_Network\s_COdbcGameWeb.cpp:238 [printf] {call selchar_changemail('%s','%s','%s','%s','%s', | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 512, "{call selchar_changemail('%s','%s','%s','%s','%s',?)}",
Lib_Network\s_COdbcUserRegister.cpp:33 [printf] {call user_register('%s','%s','%s','%s','%s', %d,  | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 1024, "{call user_register('%s','%s','%s','%s','%s', %d, %d,?)}",
GMTool\Logic\GMToolOdbcEquipmentLock.cpp:341 [printf] {call sp_InsertEquipmentPass(%d,'%s','%s',?)} | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 128, "{call sp_InsertEquipmentPass(%d,'%s','%s',?)}", pDATA->dwChaNum, strName.GetString(), strEPin.G
GMTool\Logic\GMToolOdbcPet.cpp:539 [printf] UPDATE PetInfo SET PetName='%s', PetType=%d, PetSt | exec:Y;esc:Y | interp:%s-family | _snprintf( szTemp, 1024, "UPDATE PetInfo SET PetName='%s', PetType=%d, PetStyle=%u, PetColor=%u, PetFull=%d, "

=== VULNERABLE counts by file ===
Lib_Network\s_COdbcUser.cpp  :  61
GMTool\Logic\GMToolOdbcUser.cpp  :  8
Lib_Client\G-Logic\GLCharInvenMsg.cpp  :  8
Lib_Network\s_COdbcGameClub.cpp  :  6
GMTool\Logic\GMToolOdbcEquipmentLock.cpp  :  5
Lib_Client\G-Logic\GLChar.cpp  :  5
Lib_Network\s_COdbcLogEvent.cpp  :  4
Lib_Network\s_COdbcGameInven.cpp  :  4
GMTool\Logic\GMToolOdbcChar.cpp  :  3
GMTool\Logic\GMToolOdbcConn.cpp  :  3
Lib_Network\s_COdbcSupervisor.cpp  :  3
GMTool\Logic\GMToolOdbcShop.cpp  :  3
Lib_Network\s_COdbcShop.cpp  :  3
Lib_Network\s_COdbcSMS.cpp  :  2
Lib_Network\s_COdbcGamePet.cpp  :  2
Lib_Network\s_COdbcGameChaDelete.cpp  :  2
Lib_Client\G-Logic\GLCharPMarketMsg.cpp  :  2
GMTool\Logic\GMToolOdbcVehicle.cpp  :  2
GMTool\Logic\GMToolOdbcPet.cpp  :  2
Lib_Network\s_COdbcGameChaSave.cpp  :  2
Lib_Network\s_COdbcLog.cpp  :  1
Lib_Network\s_COdbcUserGetUserInfo.cpp  :  1
GMTool\Logic\GMToolOdbcGM.cpp  :  1
Lib_Network\s_OdbcGameVehicle.cpp  :  1

=== EXCLUDED (tooling artifact, not source) ===
DEAD  :  35
ESCAPED  :  2
PARAMETERIZED  :  19
